Symbol,Exchange,Underlying,Leverage,Currency,ISIN,Name,Date,Open,High,Low,Close,Volume,Turnover,NAV,FX_Pair,FX_Rate,Open_KRW,High_KRW,Low_KRW,Close_KRW,NAV_KRW
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-17,23975.0,27845.0,23955.0,27740.0,69092124,1802893545955.0,27982.7,-,1.0,23975.0,27845.0,23955.0,27740.0,27982.7
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-18,28500.0,32670.0,28470.0,31325.0,104442087,3201060882611.0,31525.31,-,1.0,28500.0,32670.0,28470.0,31325.0,31525.31
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-19,34780.0,36315.0,31370.0,33290.0,104306269,3543743417623.0,33273.25,-,1.0,34780.0,36315.0,31370.0,33290.0,33273.25
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-22,32410.0,37755.0,32370.0,37420.0,108220037,3912142309125.0,37083.93,-,1.0,32410.0,37755.0,32370.0,37420.0,37083.93
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-23,37400.0,37775.0,27100.0,28085.0,114654287,3758199940313.0,27608.45,-,1.0,37400.0,37775.0,27100.0,28085.0,27608.45
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-24,28680.0,30930.0,25500.0,28260.0,119447145,3396911871639.0,28382.57,-,1.0,28680.0,30930.0,25500.0,28260.0,28382.57
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-25,34215.0,37585.0,32015.0,35710.0,97791304,3397345555088.0,35644.92,-,1.0,34215.0,37585.0,32015.0,35710.0,35644.92
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-26,34075.0,34800.0,27725.0,29225.0,106102067,3261660702702.0,29623.89,-,1.0,34075.0,34800.0,27725.0,29225.0,29623.89
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-29,28730.0,29845.0,26000.0,28515.0,95518674,2636950612069.0,28350.15,-,1.0,28730.0,29845.0,26000.0,28515.0,28350.15
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-06-30,28320.0,31115.0,26605.0,29140.0,76627860,2229287875578.0,29084.1,-,1.0,28320.0,31115.0,26605.0,29140.0,29084.1
