Date,국가명,ISIN,종목명,보관잔고금액,종목구분
2026-01-30,홍콩,HK0001121349,XL2CSOPSMSN,43658939,삼성 2x (7747/9747)
2026-02-02,홍콩,HK0001205258,XL2CSOPHYNIX,65360021,SK하이닉스 2x (7709)
2026-02-02,홍콩,HK0001121349,XL2CSOPSMSN,38865773,삼성 2x (7747/9747)
2026-02-03,홍콩,HK0001205258,XL2CSOPHYNIX,75947067,SK하이닉스 2x (7709)
2026-02-03,홍콩,HK0001121349,XL2CSOPSMSN,46910143,삼성 2x (7747/9747)
2026-02-04,홍콩,HK0001205258,XL2CSOPHYNIX,74222668,SK하이닉스 2x (7709)
2026-02-04,홍콩,HK0001121349,XL2CSOPSMSN,47604216,삼성 2x (7747/9747)
2026-02-05,홍콩,HK0001205258,XL2CSOPHYNIX,65340504,SK하이닉스 2x (7709)
2026-02-05,홍콩,HK0001121349,XL2CSOPSMSN,42267550,삼성 2x (7747/9747)
2026-02-06,홍콩,HK0001205258,XL2CSOPHYNIX,63897584,SK하이닉스 2x (7709)
2026-02-06,홍콩,HK0001121349,XL2CSOPSMSN,40656073,삼성 2x (7747/9747)
2026-02-09,홍콩,HK0001205258,XL2CSOPHYNIX,71325431,SK하이닉스 2x (7709)
2026-02-09,홍콩,HK0001121349,XL2CSOPSMSN,44969293,삼성 2x (7747/9747)
2026-02-10,홍콩,HK0001205258,XL2CSOPHYNIX,71101266,SK하이닉스 2x (7709)
2026-02-10,홍콩,HK0001121349,XL2CSOPSMSN,45426078,삼성 2x (7747/9747)
2026-02-11,홍콩,HK0001205258,XL2CSOPHYNIX,68246993,SK하이닉스 2x (7709)
2026-02-11,홍콩,HK0001121349,XL2CSOPSMSN,46355795,삼성 2x (7747/9747)
2026-02-12,홍콩,HK0001205258,XL2CSOPHYNIX,72399398,SK하이닉스 2x (7709)
2026-02-12,홍콩,HK0001121349,XL2CSOPSMSN,54031406,삼성 2x (7747/9747)
2026-02-13,홍콩,HK0001205258,XL2CSOPHYNIX,70452155,SK하이닉스 2x (7709)
2026-02-13,홍콩,HK0001121349,XL2CSOPSMSN,55486843,삼성 2x (7747/9747)
2026-02-16,홍콩,HK0001205258,XL2CSOPHYNIX,72545299,SK하이닉스 2x (7709)
2026-02-16,홍콩,HK0001121349,XL2CSOPSMSN,58099797,삼성 2x (7747/9747)
2026-02-17,홍콩,HK0001205258,XL2CSOPHYNIX,72545299,SK하이닉스 2x (7709)
2026-02-17,홍콩,HK0001121349,XL2CSOPSMSN,58099797,삼성 2x (7747/9747)
2026-02-18,홍콩,HK0001205258,XL2CSOPHYNIX,72545299,SK하이닉스 2x (7709)
2026-02-18,홍콩,HK0001121349,XL2CSOPSMSN,58099797,삼성 2x (7747/9747)
2026-02-19,홍콩,HK0001205258,XL2CSOPHYNIX,72564309,SK하이닉스 2x (7709)
2026-02-19,홍콩,HK0001121349,XL2CSOPSMSN,58115022,삼성 2x (7747/9747)
2026-02-20,홍콩,HK0001205258,XL2CSOPHYNIX,79082901,SK하이닉스 2x (7709)
2026-02-20,홍콩,HK0001121349,XL2CSOPSMSN,60255128,삼성 2x (7747/9747)
2026-02-23,홍콩,HK0001205258,XL2CSOPHYNIX,82694976,SK하이닉스 2x (7709)
2026-02-23,홍콩,HK0001121349,XL2CSOPSMSN,61347677,삼성 2x (7747/9747)
2026-02-24,홍콩,HK0001205258,XL2CSOPHYNIX,89174647,SK하이닉스 2x (7709)
2026-02-24,홍콩,HK0001121349,XL2CSOPSMSN,66581096,삼성 2x (7747/9747)
2026-02-25,홍콩,HK0001205258,XL2CSOPHYNIX,94510850,SK하이닉스 2x (7709)
2026-02-25,홍콩,HK0001121349,XL2CSOPSMSN,70495175,삼성 2x (7747/9747)
2026-02-26,홍콩,HK0001205258,XL2CSOPHYNIX,108354283,SK하이닉스 2x (7709)
2026-02-26,홍콩,HK0001121349,XL2CSOPSMSN,82339203,삼성 2x (7747/9747)
2026-02-27,홍콩,HK0001205258,XL2CSOPHYNIX,103107311,SK하이닉스 2x (7709)
2026-02-27,홍콩,HK0001121349,XL2CSOPSMSN,84755117,삼성 2x (7747/9747)
2026-03-02,홍콩,HK0001205258,XL2CSOPHYNIX,95744035,SK하이닉스 2x (7709)
2026-03-02,홍콩,HK0001121349,XL2CSOPSMSN,80367933,삼성 2x (7747/9747)
2026-03-03,홍콩,HK0001205258,XL2CSOPHYNIX,83552053,SK하이닉스 2x (7709)
2026-03-03,홍콩,HK0001121349,XL2CSOPSMSN,68995639,삼성 2x (7747/9747)
2026-03-04,홍콩,HK0001205258,XL2CSOPHYNIX,63979901,SK하이닉스 2x (7709)
2026-03-04,홍콩,HK0001121349,XL2CSOPSMSN,52475688,삼성 2x (7747/9747)
2026-03-05,홍콩,HK0001205258,XL2CSOPHYNIX,74899551,SK하이닉스 2x (7709)
2026-03-05,홍콩,HK0001121349,XL2CSOPSMSN,59858730,삼성 2x (7747/9747)
