Date,국가명,ISIN,종목명,매수대금,매도대금,매수매도대금,순매수대금,종목구분
2025-10-20,홍콩,HK0001121349,XL2CSOPSMSN,54046,88031,142077,-33985,삼성 2x (7747/9747)
2025-10-21,홍콩,HK0001205258,XL2CSOPHYNIX,932603,3617,936220,928986,SK하이닉스 2x (7709)
2025-10-21,홍콩,HK0001121349,XL2CSOPSMSN,175429,615497,790926,-440067,삼성 2x (7747/9747)
2025-10-22,홍콩,HK0001205258,XL2CSOPHYNIX,404031,2646,406677,401385,SK하이닉스 2x (7709)
2025-10-22,홍콩,HK0001121349,XL2CSOPSMSN,101851,113046,214897,-11195,삼성 2x (7747/9747)
2025-10-23,홍콩,HK0001205258,XL2CSOPHYNIX,353261,34244,387505,319017,SK하이닉스 2x (7709)
2025-10-23,홍콩,HK0001121349,XL2CSOPSMSN,179054,175823,354876,3231,삼성 2x (7747/9747)
2025-10-24,홍콩,HK0001205258,XL2CSOPHYNIX,176315,16611,192926,159704,SK하이닉스 2x (7709)
2025-10-24,홍콩,HK0001121349,XL2CSOPSMSN,33271,62061,95332,-28790,삼성 2x (7747/9747)
2025-10-27,홍콩,HK0001121349,XL2CSOPSMSN,80575,119760,200334,-39185,삼성 2x (7747/9747)
2025-10-27,홍콩,HK0001205258,XL2CSOPHYNIX,95937,9152,105090,86785,SK하이닉스 2x (7709)
2025-10-28,홍콩,HK0001205258,XL2CSOPHYNIX,1176402,106164,1282565,1070238,SK하이닉스 2x (7709)
2025-10-28,홍콩,HK0001121349,XL2CSOPSMSN,156002,60200,216201,95802,삼성 2x (7747/9747)
2025-10-30,홍콩,HK0001205258,XL2CSOPHYNIX,1373446,48192,1421637,1325254,SK하이닉스 2x (7709)
2025-10-30,홍콩,HK0001121349,XL2CSOPSMSN,405773,247911,653684,157862,삼성 2x (7747/9747)
2025-10-31,홍콩,HK0001205258,XL2CSOPHYNIX,1011832,1524369,2536202,-512537,SK하이닉스 2x (7709)
2025-10-31,홍콩,HK0001121349,XL2CSOPSMSN,217549,458066,675615,-240517,삼성 2x (7747/9747)
2025-11-03,홍콩,HK0001205258,XL2CSOPHYNIX,1909595,190324,2099919,1719271,SK하이닉스 2x (7709)
2025-11-03,홍콩,HK0001121349,XL2CSOPSMSN,371278,949792,1321070,-578513,삼성 2x (7747/9747)
2025-11-04,홍콩,HK0001205258,XL2CSOPHYNIX,534870,103021,637890,431849,SK하이닉스 2x (7709)
2025-11-04,홍콩,HK0001121349,XL2CSOPSMSN,454745,172955,627700,281789,삼성 2x (7747/9747)
2025-11-05,홍콩,HK0001205258,XL2CSOPHYNIX,1586377,296845,1883222,1289532,SK하이닉스 2x (7709)
2025-11-05,홍콩,HK0001121349,XL2CSOPSMSN,982970,512806,1495775,470164,삼성 2x (7747/9747)
2025-11-06,홍콩,HK0001205258,XL2CSOPHYNIX,3028543,882488,3911031,2146055,SK하이닉스 2x (7709)
2025-11-06,홍콩,HK0001121349,XL2CSOPSMSN,940224,628218,1568442,312006,삼성 2x (7747/9747)
2025-11-07,홍콩,HK0001205258,XL2CSOPHYNIX,3046816,669141,3715958,2377675,SK하이닉스 2x (7709)
2025-11-07,홍콩,HK0001121349,XL2CSOPSMSN,779211,246251,1025462,532960,삼성 2x (7747/9747)
2025-11-10,홍콩,HK0001205258,XL2CSOPHYNIX,1178579,482304,1660883,696275,SK하이닉스 2x (7709)
2025-11-10,홍콩,HK0001121349,XL2CSOPSMSN,180186,104842,285028,75344,삼성 2x (7747/9747)
2025-11-11,홍콩,HK0001205258,XL2CSOPHYNIX,439233,555476,994709,-116244,SK하이닉스 2x (7709)
2025-11-11,홍콩,HK0001121349,XL2CSOPSMSN,324496,465860,790357,-141364,삼성 2x (7747/9747)
2025-11-12,홍콩,HK0001205258,XL2CSOPHYNIX,2909776,378856,3288632,2530920,SK하이닉스 2x (7709)
2025-11-12,홍콩,HK0001121349,XL2CSOPSMSN,300962,106506,407468,194457,삼성 2x (7747/9747)
2025-11-13,홍콩,HK0001205258,XL2CSOPHYNIX,2385353,1172778,3558131,1212575,SK하이닉스 2x (7709)
2025-11-13,홍콩,HK0001121349,XL2CSOPSMSN,128793,462870,591663,-334077,삼성 2x (7747/9747)
2025-11-14,홍콩,HK0001205258,XL2CSOPHYNIX,648276,275064,923340,373211,SK하이닉스 2x (7709)
2025-11-14,홍콩,HK0001121349,XL2CSOPSMSN,162743,98582,261325,64162,삼성 2x (7747/9747)
2025-11-17,홍콩,HK0001205258,XL2CSOPHYNIX,825432,365557,1190989,459875,SK하이닉스 2x (7709)
2025-11-17,홍콩,HK0001121349,XL2CSOPSMSN,438986,30984,469969,408002,삼성 2x (7747/9747)
2025-11-18,홍콩,HK0001205258,XL2CSOPHYNIX,1620022,1571915,3191937,48106,SK하이닉스 2x (7709)
2025-11-18,홍콩,HK0001121349,XL2CSOPSMSN,226000,246773,472773,-20773,삼성 2x (7747/9747)
2025-11-19,홍콩,HK0001205258,XL2CSOPHYNIX,889525,278514,1168039,611011,SK하이닉스 2x (7709)
2025-11-19,홍콩,HK0001121349,XL2CSOPSMSN,536836,19248,556084,517588,삼성 2x (7747/9747)
2025-11-20,홍콩,HK0001205258,XL2CSOPHYNIX,1047713,186340,1234053,861373,SK하이닉스 2x (7709)
2025-11-20,홍콩,HK0001121349,XL2CSOPSMSN,259032,231709,490740,27323,삼성 2x (7747/9747)
2025-11-21,홍콩,HK0001205258,XL2CSOPHYNIX,1043798,254518,1298316,789280,SK하이닉스 2x (7709)
2025-11-21,홍콩,HK0001121349,XL2CSOPSMSN,133642,224293,357935,-90651,삼성 2x (7747/9747)
2025-11-24,홍콩,HK0001205258,XL2CSOPHYNIX,1367559,287011,1654570,1080549,SK하이닉스 2x (7709)
2025-11-24,홍콩,HK0001121349,XL2CSOPSMSN,320097,215512,535609,104585,삼성 2x (7747/9747)
2025-11-25,홍콩,HK0001205258,XL2CSOPHYNIX,1420271,1106427,2526698,313843,SK하이닉스 2x (7709)
2025-11-25,홍콩,HK0001121349,XL2CSOPSMSN,708365,367348,1075713,341017,삼성 2x (7747/9747)
2025-11-26,홍콩,HK0001205258,XL2CSOPHYNIX,501643,357101,858744,144541,SK하이닉스 2x (7709)
2025-11-26,홍콩,HK0001121349,XL2CSOPSMSN,81160,170866,252026,-89706,삼성 2x (7747/9747)
2025-11-27,홍콩,HK0001205258,XL2CSOPHYNIX,3228521,3065730,6294251,162791,SK하이닉스 2x (7709)
2025-11-27,홍콩,HK0001121349,XL2CSOPSMSN,160106,83082,243188,77024,삼성 2x (7747/9747)
2025-11-28,홍콩,HK0001205258,XL2CSOPHYNIX,1013828,216062,1229890,797766,SK하이닉스 2x (7709)
2025-11-28,홍콩,HK0001121349,XL2CSOPSMSN,508407,48564,556972,459843,삼성 2x (7747/9747)
2025-12-01,홍콩,HK0001205258,XL2CSOPHYNIX,960731,783462,1744193,177269,SK하이닉스 2x (7709)
2025-12-01,홍콩,HK0001121349,XL2CSOPSMSN,584167,105461,689628,478707,삼성 2x (7747/9747)
2025-12-02,홍콩,HK0001205258,XL2CSOPHYNIX,392890,246613,639503,146278,SK하이닉스 2x (7709)
2025-12-02,홍콩,HK0001121349,XL2CSOPSMSN,369302,16151,385453,353151,삼성 2x (7747/9747)
