code,date
072520,20260120
117670,20260121
221840,20251121
073540,20241220
041590,20240614
041590,20241121
217620,20250617
380320,20241105
473370,20251111
232140,20241018
204630,20260316
222160,20251017
244460,20250811
023790,20250207
204630,20251023
030350,20250910
067390,20240718
425290,20250228
317240,20241223
224060,20250717
023460,20260619
057880,20241014
222810,20250519
406760,20250820
069920,20260521
388800,20250801
041590,20240529
405640,20250225
391060,20240704
054630,20251020
178780,20240418
335890,20251110
418170,20250616
104040,20260421
900280,20240508
290720,20250313
226340,20260514
096040,20260521
180400,20260422
457630,20251017
412930,20250901
072950,20260421
161570,20260401
214610,20260624
377460,20240320
436530,20260112
088800,20250116
352770,20251013
412540,20260204
111870,20240902
386580,20240402
222160,20240424
413600,20251204
160190,20250218
062970,20241008
222810,20240925
177350,20250320
036690,20240930
386580,20250709
065690,20241204
435870,20250923
121800,20260423
222160,20250717
147760,20260605
388800,20251128
454750,20251027
091440,20250822
244460,20250910
053580,20241224
234340,20250702
080000,20251030
050090,20260323
065650,20260513
268600,20260629
226340,20250305
078860,20240710
319400,20250923
174900,20250730
412930,20250903
457630,20240424
181340,20250814
040350,20251002
151910,20250519
437730,20251204
073540,20240712
386580,20241112
400840,20241023
457630,20250717
391060,20260408
321370,20260323
041590,20250205
196490,20251128
430460,20260120
377400,20240813
148140,20250708
049080,20260330
019590,20260119
071850,20260202
036690,20250417
049470,20250725
263540,20250915
478780,20260327
060240,20250205
437780,20260608
222810,20250508
073640,20240523
092190,20260604
052770,20251110
196300,20260430
406760,20250512
436610,20250404
031860,20250328
448760,20250924
148140,20260421
320000,20240312
052420,20260511
227100,20250701
036180,20241101
457390,20260601
263540,20240109
056090,20240527
064260,20250613
352770,20260612
121800,20260506
437780,20260105
450050,20260608
430690,20260421
405640,20240717
072520,20240802
214310,20241219
299910,20240604
415580,20260326
405640,20250425
052670,20250513
331380,20260318
038340,20241211
437780,20251203
068790,20260107
430700,20250822
435870,20240521
071460,20250716
437780,20250731
455250,20260410
124500,20240517
227100,20240704
067390,20250124
245620,20260120
450050,20260105
079970,20251209
356860,20260427
227100,20251016
175250,20260417
082660,20240903
298060,20251030
323230,20251224
092190,20260618
405000,20260306
391060,20260323
268600,20251017
052020,20260520
065570,20251110
424140,20260107
200230,20250710
412930,20240822
038340,20260527
029960,20250716
900280,20250523
078130,20250612
050090,20250905
067630,20250602
086960,20260430
182400,20250826
244460,20240626
226440,20241101
025440,20260623
208860,20250108
419270,20250321
119860,20250704
221800,20260325
043220,20250627
437780,20260203
071460,20241111
217620,20241002
041590,20260415
052670,20250827
117670,20250327
219550,20250926
263540,20250217
033200,20240605
224060,20251031
065170,20260120
052670,20241104
023790,20250220
071850,20260108
445360,20251014
182400,20240412
227100,20260408
268600,20240424
084370,20260520
101390,20260205
478780,20250829
060240,20260415
393360,20260610
139050,20240912
066430,20241015
049630,20260420
386580,20260303
900270,20260310
269620,20240930
255220,20240807
446750,20260508
057880,20240905
268600,20250717
299910,20250716
024810,20260423
313760,20251022
101670,20250415
096040,20260306
241820,20260128
043220,20250430
377400,20250808
032685,20250121
430460,20240802
222160,20240521
054180,20241223
217620,20260123
418210,20250612
180400,20260421
208860,20250326
123840,20250902
200230,20260617
071460,20260331
071850,20260219
203690,20260113
226360,20250103
244460,20250429
079970,20240807
294090,20260428
072520,20240401
468510,20251031
400840,20241122
446150,20260610
023790,20240311
435620,20260519
323230,20250521
032685,20251112
053290,20250930
446750,20251117
445680,20251014
242040,20260608
062860,20240223
036180,20250725
079970,20250425
051780,20250310
440820,20251224
241820,20240417
454750,20260407
065650,20250514
439250,20250709
427950,20240416
089530,20240220
412930,20240618
139050,20260225
430230,20250912
175140,20250627
200230,20260616
299910,20241111
097780,20260610
373200,20250228
226360,20250526
425290,20260622
269620,20250417
900280,20260609
031860,20251215
430230,20241111
016790,20250526
347860,20240731
436610,20241202
397880,20250904
426550,20240813
027040,20260311
066410,20250617
290380,20250224
405640,20250422
439410,20250625
427950,20260513
313760,20250411
043090,20250919
435620,20250917
114120,20240116
062860,20240214
117670,20240628
208340,20240201
437780,20260529
052020,20240314
435620,20251114
225590,20260506
050090,20260313
391060,20250905
071850,20250401
123840,20251205
208340,20251028
040910,20251002
208860,20250402
393360,20250522
377030,20250604
258830,20250703
195990,20260311
174880,20251202
023790,20240402
038340,20250708
440820,20250828
245620,20240802
413600,20250922
072520,20240610
226340,20250403
246250,20260122
227100,20260323
024810,20260506
080000,20260527
101930,20240229
419270,20251118
031860,20250219
068940,20250627
014200,20240223
450050,20260529
258830,20240312
299910,20260331
174880,20240523
433530,20260130
226340,20250109
284620,20260521
095610,20251103
226440,20250725
123750,20240321
430230,20260331
052670,20250213
088800,20250415
006580,20250801
450050,20260325
241520,20250502
073540,20240408
059090,20240129
258790,20250623
181340,20240318
455250,20260203
323230,20260106
053290,20250806
038340,20260421
027040,20250707
435380,20260409
279600,20250418
023790,20241112
377400,20251219
013720,20250421
014200,20240214
449020,20260102
101390,20240820
078860,20260402
435380,20260206
313760,20240625
049080,20260422
006580,20251128
473370,20251209
057880,20250509
319660,20260428
214310,20240729
415580,20250908
376900,20260401
033340,20240206
215090,20240911
068940,20250325
204630,20260622
158430,20250630
096610,20250806
138580,20260306
451700,20251211
062970,20251215
117670,20240620
159010,20260626
430230,20240207
014970,20250502
208340,20260113
386580,20260212
101670,20241217
477530,20260528
160600,20240307
071850,20251001
049470,20260420
203690,20241029
352770,20251106
192410,20250910
030350,20260416
433530,20250620
356890,20240416
422040,20260427
101930,20240110
230980,20240415
182400,20260410
114450,20240820
139050,20241007
048770,20260529
101390,20250811
121800,20250618
119610,20240621
016790,20240502
307280,20250514
079970,20250422
424140,20250415
439730,20250210
377030,20260401
391060,20260313
082210,20251107
397880,20260601
057880,20250320
430460,20240610
444920,20260623
036690,20250414
038530,20260424
268600,20240521
413600,20250214
066430,20240923
405640,20250724
067630,20260511
109960,20250806
196300,20260609
067390,20240904
062970,20250219
438220,20260311
032860,20240624
413600,20260327
313760,20241022
217620,20260403
458320,20250929
141080,20241014
058450,20260623
419270,20250730
052020,20241015
073570,20260311
066790,20250710
442310,20260130
227100,20250905
069920,20260427
164060,20241224
219550,20251107
244460,20251216
294090,20260102
391060,20250221
071850,20251027
053290,20250326
080000,20250708
219750,20250324
294630,20240229
244460,20260416
031860,20241126
096040,20260427
044060,20240613
078130,20240725
214310,20250117
439250,20260303
067630,20250715
393360,20251103
900120,20260528
016790,20260130
181340,20240524
435380,20260602
442130,20260430
032820,20260209
053290,20250421
388800,20240809
101390,20250910
290520,20250328
424140,20250408
294090,20251223
323230,20250613
219550,20250307
009620,20241127
050090,20260119
457600,20250417
080000,20260421
151910,20250627
308080,20260608
044180,20240318
438580,20250529
217480,20250515
208860,20240426
276730,20260428
032860,20240329
123750,20250227
331380,20251014
088800,20241217
214870,20240318
096610,20250326
446150,20251103
016600,20260528
388800,20240802
121800,20240611
032980,20250718
313760,20260521
245620,20240610
196490,20260518
438220,20250707
182400,20260608
196490,20240809
427950,20250514
068790,20250917
900280,20240607
446840,20241007
073570,20250707
066410,20241002
047820,20250324
068790,20251114
442130,20251229
036690,20241028
065150,20241002
372290,20250908
406760,20260508
053290,20250925
066790,20260617
396270,20260126
241820,20250701
052670,20240509
182400,20240513
354320,20260119
121850,20260429
377400,20250626
062970,20240528
442310,20250620
219550,20240904
065690,20250703
308080,20260105
386580,20240205
053590,20241224
180400,20251105
208340,20240531
151910,20250430
436530,20250909
217620,20250808
217480,20240722
182400,20260105
208340,20240108
226360,20241211
417860,20260122
016790,20250620
049180,20260313
115960,20240903
160190,20260417
215090,20241219
290380,20240216
066790,20260616
406760,20251117
196300,20260504
109960,20250326
208340,20241029
442770,20260424
121800,20250207
066410,20260123
139050,20241030
241820,20240704
263540,20240403
182400,20251203
287410,20250509
182400,20250731
435870,20250826
041590,20250811
372290,20250909
117670,20251120
397880,20241209
348080,20240909
448760,20250807
096610,20250402
433530,20250319
241820,20251016
430230,20240812
900280,20260624
038880,20251002
111870,20240223
492220,20250508
124500,20241216
230980,20260107
413600,20250829
031860,20241114
298060,20250708
036180,20260420
161570,20250904
174880,20250228
440820,20250613
226340,20250409
027040,20250407
217480,20240327
214610,20260113
347860,20241018
433530,20250721
439410,20260107
019590,20251208
415580,20251015
181340,20240522
435870,20240412
139050,20260514
469480,20260626
111870,20240214
380320,20260402
227100,20250221
189860,20251010
224060,20250826
226440,20240222
413600,20251210
182400,20260203
287410,20250320
435620,20260326
439730,20260630
052670,20251204
024810,20250618
391060,20260119
288330,20250418
298060,20260421
354320,20260116
223310,20260527
389680,20260506
258830,20241023
317240,20240517
214310,20250306
023790,20240912
067630,20250604
109960,20250402
032685,20250205
317120,20251010
071850,20260413
043090,20251216
138580,20260427
241820,20260408
263540,20260223
393360,20250814
044180,20240524
388800,20240401
424140,20260112
439730,20250813
455250,20240930
021045,20260508
476470,20241220
412540,20250709
085810,20260410
086960,20260504
214870,20240524
188260,20260324
