구분,시장구분,회사명,종목코드,상장일,상장주식수(천주)
주권,유가증권,메리츠금융지주,138040,2011-05-13,167347
주권,유가증권,한국종합기술,023350,2011-04-28,10950
주권,유가증권,BNK금융지주,138930,2011-03-30,310327
주권,유가증권,롯데에너지머티리얼즈,020150,2011-03-04,52365
주권,유가증권,현대위아,011210,2011-02-21,27195
주권,유가증권,선진,136490,2011-02-16,23780
주권,유가증권,미원화학,134380,2011-02-15,21993
주권,유가증권,시디즈,134790,2011-01-25,2000
주권,유가증권,한화엔진,082740,2011-01-04,83447
주권,유가증권,대성에너지,117580,2010-12-24,27500
주권,유가증권,현대퓨처넷,126560,2010-12-23,109201
주권,유가증권,KTis,058860,2010-12-17,34802
주권,유가증권,한전산업,130660,2010-12-16,32600
주권,유가증권,미스토홀딩스,081660,2010-09-28,53092
주권,유가증권,KTcs,058850,2010-09-16,41404
주권,유가증권,도화엔지니어링,002150,2010-08-12,33720
주권,유가증권,대성산업,128820,2010-07-30,45235
주권,유가증권,아이마켓코리아,122900,2010-07-30,33429
주권,유가증권,한미약품,128940,2010-07-30,12811
주권,유가증권,우진,105840,2010-07-26,20198
주권,유가증권,무학,033920,2010-07-20,28500
주권,유가증권,이연제약,102460,2010-06-10,18587
주권,유가증권,한국화장품,123690,2010-06-01,16068
주권,유가증권,에스제이엠,123700,2010-05-31,15605
주권,유가증권,HL홀딩스,060980,2010-05-19,9079
주권,유가증권,삼성생명,032830,2010-05-12,200000
주권,유가증권,신세계푸드,031440,2010-04-29,3872
주권,유가증권,한화생명,088350,2010-03-17,868530
주권,유가증권,조선선재,120030,2010-02-19,1258
주권,유가증권,코오롱인더,120110,2010-02-01,32714
주권,유가증권,KC코트렐,119650,2010-01-29,109785
주권,유가증권,지역난방공사,071320,2010-01-29,11579
주권,유가증권,영흥,012160,2010-01-25,15621
주권,유가증권,메타케어,118000,2009-12-30,22056
주권,유가증권,한전기술,052690,2009-12-14,38220
주권,유가증권,GKL,114090,2009-11-19,61856
주권,유가증권,SK,034730,2009-11-11,73069
주권,유가증권,황금에스티,032560,2009-10-29,17000
주권,유가증권,하이트진로,000080,2009-10-19,71264
주권,유가증권,동양생명,082640,2009-10-08,156063
주권,유가증권,유니온머티리얼,047400,2009-09-29,42000
주권,유가증권,형지엘리트,093240,2009-09-28,61390
주권,유가증권,키움증권,039490,2009-08-03,26228
주권,유가증권,영원무역,111770,2009-07-30,44311
주권,유가증권,한미글로벌,053690,2009-06-23,10958
주권,유가증권,동아지질,028100,2009-06-12,13390
주권,유가증권,HD현대마린엔진,071970,2009-05-15,33921
주권,유가증권,LX하우시스,108670,2009-04-20,10000
주권,유가증권,한세실업,105630,2009-03-20,40000
주권,유가증권,주성코퍼레이션,109070,2009-03-17,52810
주권,유가증권,미원홀딩스,107590,2009-03-02,2320
주권,유가증권,NAVER,035420,2008-11-28,156944
주권,유가증권,부국철강,026940,2008-10-14,20000
주권,유가증권,KB금융,105560,2008-10-10,354688
주권,유가증권,한국철강,104700,2008-09-29,36450
주권,유가증권,일진전기,103590,2008-08-01,47685
주권,유가증권,풍산,103140,2008-07-30,28024
주권,유가증권,LG이노텍,011070,2008-07-24,23667
주권,유가증권,명문제약,017180,2008-07-10,33953
주권,유가증권,비상교육,100220,2008-06-30,12997
주권,유가증권,동성케미컬,102260,2008-06-23,50670
주권,유가증권,LG유플러스,032640,2008-04-21,424428
주권,유가증권,인바이오젠,101140,2008-04-02,10044
주권,유가증권,아시아나항공,020560,2008-03-28,205991
주권,유가증권,SNT에너지,100840,2008-02-22,20681
주권,유가증권,진양홀딩스,100250,2008-02-15,63900
주권,유가증권,엔케이,085310,2008-01-24,7418
주권,유가증권,한전KPS,051600,2007-12-14,45000
주권,유가증권,기신정기,092440,2007-10-30,29200
주권,유가증권,KSS해운,044450,2007-10-26,23086
주권,유가증권,효성 ITX,094280,2007-10-25,11558
주권,유가증권,유나이티드,033270,2007-10-23,15911
주권,유가증권,디아이씨,092200,2007-10-18,38889
주권,유가증권,CJ제일제당,097950,2007-09-28,16382
주권,유가증권,팬오션,028670,2007-09-21,534570
주권,유가증권,HJ중공업,097230,2007-08-31,90295
주권,유가증권,JW홀딩스,096760,2007-07-31,73925
주권,유가증권,SK이노베이션,096770,2007-07-25,170301
주권,유가증권,삼성카드,029780,2007-06-27,115859
주권,유가증권,알루코,001780,2007-06-07,96830
주권,유가증권,웅진씽크빅,095720,2007-05-31,56827
주권,유가증권,메타랩스,090370,2006-12-26,27305
주권,유가증권,후성,093370,2006-12-22,107255
주권,유가증권,LF,093050,2006-12-01,29240
주권,유가증권,주연테크,044380,2006-11-15,12896
주권,유가증권,코스맥스비티아이,044820,2006-11-13,9604
주권,유가증권,인천도시가스,034590,2006-11-07,4375
주권,유가증권,삼정펄프,009770,2006-10-17,2500
주권,유가증권,KEC,092220,2006-10-16,40153
주권,유가증권,KPX홀딩스,092230,2006-10-12,4225
주권,유가증권,HDC현대EP,089470,2006-09-25,31900
주권,유가증권,노루페인트,090350,2006-07-03,20463
주권,유가증권,아모레퍼시픽,090430,2006-06-29,69051
주권,유가증권,롯데관광개발,032350,2006-06-08,79725
주권,유가증권,평화산업,090080,2006-06-02,54902
주권,유가증권,우진플라임,049800,2006-05-24,20000
주권,유가증권,신세계I&C,035510,2006-05-18,13981
주권,유가증권,진도,088790,2006-03-28,12448
주권,유가증권,롯데쇼핑,023530,2006-02-09,28289
주권,유가증권,현대글로비스,086280,2005-12-26,75000
주권,유가증권,티비에이치글로벌,084870,2005-12-19,20458
주권,유가증권,하나금융지주,086790,2005-12-12,274368
주권,유가증권,제일연마,001560,2005-12-09,7600
주권,유가증권,현대리바트,079430,2005-11-22,20114
주권,유가증권,대한제강,084010,2005-10-31,34372
주권,유가증권,새론오토모티브,075180,2005-10-21,19200
주권,유가증권,그린케미칼,083420,2005-10-20,24000
주권,유가증권,대상홀딩스,084690,2005-08-17,37126
주권,유가증권,코아스,071950,2005-08-04,12459
주권,유가증권,이월드,084680,2005-07-26,141806
주권,유가증권,동양고속,084670,2005-07-25,2896
주권,유가증권,한미반도체,042700,2005-07-22,95312
주권,유가증권,동일산업,004890,2005-06-30,2425
주권,유가증권,삼호개발,010960,2005-05-12,24120
주권,유가증권,금호타이어,073240,2005-02-17,287260
주권,유가증권,CJ CGV,079160,2004-12-24,165583
주권,유가증권,일진다이아,081000,2004-12-22,14203
주권,유가증권,유니드,014830,2004-12-03,6768
주권,유가증권,상신브레이크,041650,2004-10-27,21471
주권,유가증권,인팩,023810,2004-09-21,10000
주권,유가증권,GS,078930,2004-08-05,94675
주권,유가증권,유니퀘스트,077500,2004-08-05,21600
주권,유가증권,다스코,058730,2004-08-02,19948
주권,유가증권,LG디스플레이,034220,2004-07-23,500000
주권,유가증권,텔코웨어,078000,2004-07-20,9240
주권,유가증권,STX엔진,077970,2004-05-10,40148
주권,유가증권,NICE,034310,2004-02-04,36757
주권,유가증권,대교,019680,2004-02-03,104130
주권,유가증권,기업은행,024110,2003-12-24,797426
주권,유가증권,이엔플러스,074610,2003-12-23,8770
