code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,susi,susi_after,susi_corr,action,susi_yr,susi_after_yr,action_yr
424870,263,263,7104960440500.0,27015058709.12548,0.0,1.0867768595041325,ST,289333092730.0,이뮨온시아,N,D1,17.0,11.0,3.0,3.0,15.642585551330795,10.121673003802279,2.760456273764258
494120,152,152,4008294129000.0,26370356111.842106,0.0,0.628099173553719,ST,195706473300.0,큐리오시스,N,D1,10.0,6.0,1.0,1.0,15.921052631578947,9.552631578947368,1.5921052631578947
050890,606,606,15880103697000.0,26204791579.20792,0.0,2.5041322314049586,ST,648879783120.0,쏠리드,N,D1,35.0,34.0,0.0,6.0,13.976897689768977,13.577557755775578,2.396039603960396
078600,606,606,15814087428500.0,26095853842.40924,0.0,2.5041322314049586,ST,1281457660800.0,대주전자재료,N,D1,56.0,43.0,9.0,6.0,22.363036303630363,17.171617161716174,2.396039603960396
440110,553,553,14322962593000.0,25900474851.717903,0.0,2.2851239669421486,ST,3847789593600.0,파두,N,D1,87.0,25.0,31.0,12.0,38.07233273056058,10.940325497287523,5.251356238698011
095340,606,606,15559549016500.0,25675823459.57096,0.0,2.5041322314049586,ST,3204995169600.0,ISC,N,D1,60.0,21.0,1.0,13.0,23.96039603960396,8.386138613861387,5.191419141914191
041190,606,606,15422286776000.0,25449318112.21122,0.0,2.5041322314049586,ST,396900000000.0,우리기술투자,N,D1,15.0,5.0,0.0,4.0,5.99009900990099,1.9966996699669968,1.5973597359735974
067630,295,295,7464491104500.0,25303359676.271187,0.0,1.21900826446281,ST,271875039340.0,HLB생명과학,N,D1,44.0,40.0,6.0,4.0,36.094915254237286,32.813559322033896,3.2813559322033896
437730,527,527,13296977123000.0,25231455641.366222,0.0,2.177685950413223,ST,1081228034700.0,삼현,N,D1,37.0,22.0,1.0,10.0,16.990512333965846,10.102466793168881,4.592030360531309
456010,504,504,12643823877000.0,25086952136.90476,0.0,2.0826446280991737,ST,233342811500.0,아이씨티케이,N,D1,30.0,11.0,3.0,6.0,14.404761904761903,5.281746031746032,2.880952380952381
253590,599,599,14866920505500.0,24819566787.14524,0.0,2.475206611570248,ST,449658931000.0,네오셈,N,D1,36.0,15.0,2.0,7.0,14.54424040066778,6.060100166944909,2.8280467445742907
459510,280,280,6925868467500.0,24735244526.785717,0.0,1.1570247933884297,ST,174948589360.0,나우로보틱스,N,D1,51.0,29.0,19.0,6.0,44.07857142857143,25.064285714285717,5.185714285714286
006910,606,606,14937134689500.0,24648737111.38614,0.0,2.5041322314049586,ST,346365259200.0,보성파워텍,N,D1,35.0,22.0,12.0,2.0,13.976897689768977,8.785478547854787,0.7986798679867987
018290,606,606,14791726608500.0,24408789783.0033,0.0,2.5041322314049586,ST,427338678740.0,브이티,N,D1,30.0,20.0,5.0,7.0,11.98019801980198,7.986798679867987,2.7953795379537953
469610,157,157,3773495754500.0,24035004805.732483,0.0,0.6487603305785123,ST,125021742000.0,이노테크,N,D1,8.0,1.0,0.0,1.0,12.331210191082803,1.5414012738853504,1.5414012738853504
160190,382,382,9120664460500.0,23876084975.13089,0.0,1.578512396694215,ST,553512960000.0,하이젠알앤엠,N,D1,16.0,11.0,2.0,8.0,10.136125654450261,6.968586387434555,5.0680628272251305
476040,279,279,6464094905500.0,23168798944.444443,0.0,1.1528925619834711,ST,51698216000.0,오가노이드사이언스,N,D1,20.0,8.0,2.0,0.0,17.347670250896055,6.939068100358423,0.0
