공시일,시각,애프터,종목코드,종목명,decile,관리부담,사유성격,정지사유,동반공시,정지공시_원문
20240312,16:09:14,Y,016670,디모아,D9,뉴스형(즉시조치),자본·조직변동,자본감소,(주)디모아 감자결정,(주)디모아 주권매매거래정지(자본감소)
20240313,16:56:14,Y,241820,피씨엘,(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정우려,피씨엘(주) 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,피씨엘(주) 주권매매거래정지(관리종목지정우려)
20240313,17:22:21,Y,192410,오늘이엔엠,D6,뉴스형(즉시조치),자본·조직변동,자본감소,휴림네트웍스(주) 감자결정,휴림네트웍스(주) 주권매매거래정지(자본감소)
20240313,17:33:10,Y,123840,뉴온,(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정우려,(주)한일진공 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)한일진공 주권매매거래정지(관리종목지정우려)
20240313,22:42:32,,208350,지란지교시큐리티,D10,뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)지란지교시큐리티 조회공시요구(풍문또는보도)(회계처리기준 위반),(주)지란지교시큐리티 주권매매거래정지(풍문 또는 보도 관련)
20240313,22:42:44,,114810,한솔아이원스,D4,뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,한솔아이원스(주) 조회공시요구(풍문또는보도)(회계처리기준 위반),한솔아이원스(주) 주권매매거래정지(풍문 또는 보도 관련)
20240313,22:43:37,,151910,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,에스비더블유생명과학(주) 조회공시요구(풍문또는보도)(회계처리기준 위반),에스비더블유생명과학(주) 주권매매거래정지(풍문 또는 보도 관련)
20240314,15:47:12,Y,049470,비트플래닛,D6,뉴스형(즉시조치),자본·조직변동,자본감소,에스지에이(주) 감자결정,에스지에이(주) 주권매매거래정지(자본감소)
20240314,20:19:20,,227100,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,파산신청,(주)에이치앤비디자인 관리종목지정(파산신청),(주)에이치앤비디자인 주권매매거래정지(파산신청)
20240319,09:34:12,,089850,유비벨록스,D6,뉴스형(즉시조치),자본·조직변동,무상증자,유비벨록스(주) 무상증자결정,유비벨록스(주) 주권매매거래정지(무상증자)
20240319,16:45:13,Y,019590,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,엠벤처투자(주) 조회공시요구(풍문또는보도)(감사의견 비적정설),엠벤처투자(주) 주권매매거래정지(풍문 또는 보도 관련)
20240319,19:09:46,Y,224060,더코디,D10,뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)더코디 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),(주)더코디 주권매매거래정지(풍문 또는 보도 관련)
20240319,20:30:29,,073640,테라사이언스,(유니버스 밖),뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,테라사이언스(주) 기타시장안내(상장적격성 실질심사 관련 안내),테라사이언스(주) 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240320,15:39:12,,052020,에스티큐브,(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정사유발생,(주)에스티큐브 감사보고서 제출,(주)에스티큐브 주권매매거래정지(관리종목지정사유발생)
20240320,16:49:23,Y,054630,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정우려,(주)에이디칩스 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)에이디칩스 주권매매거래정지(관리종목지정우려)
20240321,09:12:12,,230980,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)비유테크놀러지 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)비유테크놀러지 주권매매거래정지(풍문 또는 보도 관련)
20240321,10:34:12,,046070,코다코,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)코다코 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)코다코 주권매매거래정지(풍문 또는 보도 관련)
20240321,11:11:18,,408900,스튜디오미르,D3,뉴스형(즉시조치),자본·조직변동,무상증자,주식회사 스튜디오미르 무상증자결정,주식회사 스튜디오미르 주권매매거래정지(무상증자)
20240321,15:19:38,,041520,이엘씨,D10,뉴스형(즉시조치),부실·위험,중요한 영업정지,(주)이라이콤 영업정지,(주)이라이콤 주권매매거래정지(중요한 영업정지)
20240321,16:26:14,Y,323230,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,관리종목지정사유발생,엠에프엠코리아(주) 감사보고서 제출,엠에프엠코리아(주) 주권매매거래정지(관리종목지정사유발생)
20240321,17:16:15,Y,036690,코맥스,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)코맥스 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)코맥스 주권매매거래정지(풍문 또는 보도 관련)
20240321,21:53:08,,072520,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장폐지 사유발생,(주)제넨바이오 관리종목지정(상장폐지사유 발생),(주)제넨바이오 주권매매거래정지(상장폐지 사유발생)
20240322,16:34:11,Y,260970,에스앤디,D3,뉴스형(즉시조치),자본·조직변동,이익소각,(주)에스앤디 자기주식 취득 결정,(주)에스앤디 주권매매거래정지(이익소각)
20240325,15:46:13,Y,315640,딥노이드,D5,뉴스형(즉시조치),자본·조직변동,무상증자,주식회사 딥노이드 무상증자결정,주식회사 딥노이드 주권매매거래정지(무상증자)
20240325,16:17:10,Y,182400,엔케이젠바이오텍코리아,(유니버스 밖),뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,"(주)엔케이맥스 불성실공시법인지정(공시번복 1건, 공시불이행 4건)",(주)엔케이맥스 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240326,19:27:15,Y,217620,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,(주)디딤이앤에프 기타시장안내(상장폐지 관련),(주)디딤이앤에프 주권매매거래정지(투자자 보호)
20240328,19:43:51,Y,041590,플래스크,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)플래스크 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)플래스크 주권매매거래정지(풍문 또는 보도 관련)
20240329,12:09:49,,258830,세종메디칼,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)세종메디칼 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)세종메디칼 주권매매거래정지(풍문 또는 보도 관련)
20240401,08:47:15,,340930,성원에너텍,D4,뉴스형(즉시조치),자본·조직변동,무상증자,유일에너테크(주) 무상증자결정,유일에너테크(주) 주권매매거래정지(무상증자)
20240401,10:42:24,,042500,링네트,D6,뉴스형(즉시조치),자본·조직변동,무상증자,(주)링네트 무상증자결정,(주)링네트 주권매매거래정지(무상증자)
20240402,16:44:24,Y,196490,디에이테크놀로지,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)디에이테크놀로지 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),(주)디에이테크놀로지 주권매매거래정지(풍문 또는 보도 관련)
20240402,18:07:19,Y,419270,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,신영해피투모로우제7호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20240403,17:32:18,Y,053610,프로텍,D4,뉴스형(즉시조치),부실·위험,회계처리 기준위반,(주)프로텍 회계처리기준위반행위로인한검찰기소,(주)프로텍 주권매매거래정지(회계처리 기준위반)
20240404,09:39:20,,262840,아이퀘스트,D9,뉴스형(즉시조치),자본·조직변동,무상증자,(주)아이퀘스트 무상증자결정,(주)아이퀘스트 주권매매거래정지(무상증자)
20240404,17:27:54,Y,243840,신흥에스이씨,D4,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"신흥에스이씨(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240404,17:45:35,Y,086520,에코프로,D1,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)에코프로 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240404,17:53:23,Y,222810,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)세토피아 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)세토피아 주권매매거래정지(풍문 또는 보도 관련)
20240404,18:09:35,Y,225190,LK삼양,D2,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"주식회사 삼양옵틱스 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240404,18:11:39,Y,025440,DH오토웨어,D9,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)디에이치오토웨어 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240405,14:11:13,,418250,시큐레터,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,시큐레터 주식회사 조회공시요구(풍문또는보도)(감사의견 비적정설),시큐레터 주식회사 주권매매거래정지(풍문 또는 보도 관련)
20240405,15:48:10,Y,198940,한주라이트메탈,D9,뉴스형(즉시조치),자본·조직변동,무상증자,한주라이트메탈(주) 유무상증자결정(주주배정후 실권주 일반공모),한주라이트메탈(주) 주권매매거래정지(무상증자)
20240405,16:13:10,Y,054630,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)에이디칩스 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)에이디칩스 주권매매거래정지(풍문 또는 보도 관련)
20240405,16:23:05,Y,294140,레몬,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)레몬 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240405,16:31:46,Y,079970,투비소프트,D7,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)투비소프트 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240405,17:36:13,Y,065150,대산F&B,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,,(주)대산에프앤비 주권매매거래정지(풍문 또는 보도 관련)
