code,amihud,intraday,ext15,vol,decile,충격_5천만원_pct,충격_1억원_pct
025950,0.1189,6.7395,3.6424,5.9877,D3,0.0595,0.1189
025980,0.0261,3.8325,0.3306,3.3296,D2,0.0131,0.0261
026040,1.1229,5.2947,1.157,4.0397,D7,0.5614,1.1229
026150,0.2168,3.7013,0.3306,2.6789,D6,0.1084,0.2168
026910,3.4507,4.3008,1.6529,4.0929,D10,1.7253,3.4507
027040,1.7623,6.5265,2.6455,4.9877,D9,0.8811,1.7623
027050,0.2054,3.9325,0.1653,3.0536,D5,0.1027,0.2054
027360,0.0788,5.7874,2.8099,5.3225,D1,0.0394,0.0788
027580,0.2325,4.7624,1.0152,3.873,D4,0.1163,0.2325
027710,0.1811,2.49,0.1653,1.8593,D7,0.0905,0.1811
027830,0.1929,4.5459,1.157,3.8101,D4,0.0964,0.1929
028080,1.6493,5.9667,2.0339,4.896,D8,0.8246,1.6493
028300,0.0033,5.4129,1.8182,4.7567,D1,0.0017,0.0033
029480,0.2233,6.85,1.4876,4.6861,D4,0.1116,0.2233
029960,0.0791,1.118,0.295,1.2098,D8,0.0396,0.0791
030350,0.7527,7.2201,3.5714,5.6284,D7,0.3764,0.7527
030520,0.0209,4.7997,1.157,3.9088,D1,0.0104,0.0209
030530,0.0231,6.5124,3.3113,5.5337,D1,0.0115,0.0231
030960,0.1717,4.1354,0.3306,2.566,D5,0.0858,0.1717
031310,0.4691,4.1914,0.8264,3.4593,D6,0.2345,0.4691
031330,0.0996,3.678,1.157,3.5015,D4,0.0498,0.0996
031510,1.4626,3.0608,0.0,1.8245,D10,0.7313,1.4626
031980,0.0212,6.7496,1.8182,5.2003,D1,0.0106,0.0212
032080,2.4044,3.1058,0.4959,2.4199,D10,1.2022,2.4044
032190,0.091,3.392,0.6612,3.1595,D5,0.0455,0.091
032280,0.9259,3.5089,0.8264,3.3747,D9,0.463,0.9259
032300,0.3309,3.4452,0.3306,2.6999,D6,0.1655,0.3309
032500,0.0835,5.5492,1.4876,4.7544,D3,0.0418,0.0835
032540,0.9402,2.9609,0.0,1.3794,D10,0.4701,0.9402
032580,0.2504,5.5687,2.1523,4.9383,D4,0.1252,0.2504
032620,0.1612,3.5615,0.6612,2.8338,D4,0.0806,0.1612
032680,0.427,5.1887,1.1925,3.8875,D6,0.2135,0.427
032750,0.9422,2.7588,0.0,1.7836,D9,0.4711,0.9422
032790,0.7399,6.4625,1.5228,4.1327,D8,0.37,0.7399
032800,0.8193,4.6378,1.913,4.5194,D8,0.4096,0.8193
032820,0.0093,6.3289,2.6446,5.5824,D1,0.0047,0.0093
032850,0.1853,3.3424,0.1653,2.5854,D4,0.0927,0.1853
032860,1.2207,6.6076,1.7032,4.6323,D9,0.6103,1.2207
032940,0.1709,6.117,1.4876,4.9876,D3,0.0855,0.1709
032960,1.0082,2.8294,0.1667,2.1479,D9,0.5041,1.0082
032980,0.7899,8.8518,4.878,10.4907,D8,0.3949,0.7899
033050,3.3847,3.1186,0.1653,2.1584,D10,1.6924,3.3847
033100,0.0159,5.7949,1.157,4.7908,D1,0.0079,0.0159
033130,0.3858,3.2851,0.3306,2.6825,D8,0.1929,0.3858
033160,0.1147,5.1475,1.9835,4.7475,D3,0.0573,0.1147
033170,0.4169,5.2938,1.4876,4.3328,D4,0.2084,0.4169
033230,0.0965,5.4604,1.157,4.1992,D2,0.0483,0.0965
033290,0.6054,3.6327,0.5146,2.8483,D7,0.3027,0.6054
033310,0.7386,3.4633,0.4959,2.5533,D9,0.3693,0.7386
033320,0.1581,4.7901,1.3223,3.9017,D3,0.079,0.1581
033340,0.1281,6.5475,1.7131,5.2156,D2,0.0641,0.1281
033500,0.0329,4.5074,0.0,3.3441,D2,0.0165,0.0329
033540,0.3521,5.5787,0.6768,3.876,D6,0.1761,0.3521
033560,0.8578,4.0119,0.0,2.0154,D10,0.4289,0.8578
033640,0.1214,5.3822,1.6529,4.3063,D4,0.0607,0.1214
033790,0.1658,8.3511,4.9669,6.721,D3,0.0829,0.1658
033830,0.8016,2.6062,0.0,1.7313,D10,0.4008,0.8016
034810,0.4671,2.8762,0.0,2.1554,D9,0.2336,0.4671
034940,1.6167,4.2922,0.6612,3.2762,D9,0.8084,1.6167
034950,0.2003,1.5842,0.0,1.0323,D9,0.1002,0.2003
035080,0.271,3.4998,0.3306,2.7615,D7,0.1355,0.271
035200,0.5987,4.6061,1.157,3.5518,D7,0.2993,0.5987
035290,1.858,6.492,2.3973,5.008,D9,0.929,1.858
035460,0.7775,3.8587,0.9917,3.7857,D8,0.3888,0.7775
035600,0.0871,2.5058,0.0,1.8902,D6,0.0436,0.0871
035610,0.5155,3.0914,0.0,1.8771,D9,0.2578,0.5155
035620,1.682,4.3804,0.5085,3.2165,D10,0.841,1.682
035760,0.0327,3.7958,0.0,2.7582,D3,0.0163,0.0327
035810,0.2057,2.7855,0.3306,2.4072,D7,0.1028,0.2057
035890,0.1973,3.1616,0.4651,2.7834,D6,0.0986,0.1973
035900,0.0053,3.4622,0.0,2.7367,D1,0.0027,0.0053
036000,0.6705,4.8631,1.3223,3.9592,D6,0.3353,0.6705
036010,0.2785,5.1116,0.4959,3.9209,D6,0.1392,0.2785
036030,0.3951,2.9464,0.1653,2.0397,D8,0.1976,0.3951
036090,0.2492,4.1224,0.846,3.612,D5,0.1246,0.2492
036120,0.3443,3.7084,0.0,2.1385,D7,0.1722,0.3443
036170,0.946,5.0537,2.1488,4.6173,D5,0.473,0.946
036180,0.6751,7.1722,3.3898,10.4018,D9,0.3375,0.6751
036190,0.3308,2.6981,0.0,1.8128,D9,0.1654,0.3308
036200,0.0689,4.8048,0.9917,3.9828,D3,0.0344,0.0689
036220,0.3328,4.8784,0.8977,3.7283,D4,0.1664,0.3328
036480,0.5489,2.7989,0.3306,2.318,D9,0.2744,0.5489
036540,0.0397,4.4173,0.9917,3.8274,D1,0.0199,0.0397
036560,0.2953,3.716,1.3223,3.9957,D6,0.1476,0.2953
036620,0.0549,5.3787,0.1653,3.3787,D3,0.0275,0.0549
036630,0.5757,5.4554,1.9964,4.7688,D7,0.2878,0.5757
036640,0.2217,2.2399,0.0,1.4869,D9,0.1109,0.2217
036670,0.7071,2.2513,0.0,1.3869,D10,0.3536,0.7071
036710,0.3583,5.6986,1.157,4.119,D7,0.1792,0.3583
036800,0.5055,2.8977,0.1653,2.2596,D9,0.2528,0.5055
036810,0.0429,5.6999,1.6529,4.5578,D2,0.0215,0.0429
036830,0.0578,5.9447,2.314,4.9974,D2,0.0289,0.0578
036890,0.0958,3.8502,0.4959,3.1002,D5,0.0479,0.0958
036930,0.0096,5.5872,1.9835,4.9307,D1,0.0048,0.0096
037030,0.341,4.4582,1.6529,4.1372,D3,0.1705,0.341
037070,0.2583,3.8775,0.6612,2.7743,D6,0.1292,0.2583
037230,1.1686,3.9034,0.9917,3.4754,D7,0.5843,1.1686
037330,1.1381,3.0656,0.1653,2.1433,D9,0.5691,1.1381
037350,0.3338,3.9535,0.6612,3.2995,D7,0.1669,0.3338
037370,0.6473,4.1839,0.4959,3.0589,D9,0.3237,0.6473
037400,1.1849,2.8586,0.0,1.7978,D10,0.5925,1.1849
037440,0.1985,4.1345,0.9917,3.6272,D5,0.0992,0.1985
037460,0.1589,3.4691,0.3306,2.9288,D5,0.0795,0.1589
037760,2.1034,2.6417,0.0,1.584,D10,1.0517,2.1034
037950,0.1686,3.8396,0.1689,2.7433,D4,0.0843,0.1686
038010,0.4547,3.2355,0.0,2.1197,D8,0.2273,0.4547
038060,1.2416,4.3485,1.3223,4.0035,D9,0.6208,1.2416
038070,0.3545,3.9758,0.3306,2.9039,D6,0.1772,0.3545
038110,0.0954,4.6061,0.9917,3.4676,D2,0.0477,0.0954
038290,0.1756,3.0787,0.4959,2.7914,D6,0.0878,0.1756
038390,0.2858,2.3081,0.3306,2.1633,D8,0.1429,0.2858
038460,0.2036,5.2596,1.157,4.1631,D3,0.1018,0.2036
038500,0.0848,4.3627,1.8212,4.5634,D1,0.0424,0.0848
038530,0.6567,6.2661,1.5332,4.7731,D7,0.3284,0.6567
038540,0.7697,4.2563,0.3306,2.7424,D9,0.3848,0.7697
038620,0.4614,3.6823,0.3401,2.8897,D8,0.2307,0.4614
038680,0.3561,4.164,0.3306,2.8414,D6,0.1781,0.3561
038870,0.3479,5.0865,1.157,3.7827,D5,0.174,0.3479
038880,0.5397,5.485,1.7241,4.5277,D7,0.2699,0.5397
038950,3.344,3.9727,0.0,2.0991,D10,1.672,3.344
039010,0.3542,4.1016,0.4959,2.8945,D7,0.1771,0.3542
039020,0.4331,3.6842,0.0,2.7669,D8,0.2166,0.4331
039030,0.009,5.8359,1.3223,4.7559,D1,0.0045,0.009
039200,0.022,5.6942,0.4959,4.0521,D1,0.011,0.022
039240,0.1639,4.0903,1.6529,4.1509,D3,0.0819,0.1639
039290,0.6073,4.5495,0.4959,3.0744,D8,0.3036,0.6073
039310,2.1582,4.1741,0.4959,2.8552,D10,1.0791,2.1582
039340,0.7776,2.3803,0.1653,1.6304,D10,0.3888,0.7776
039420,0.4358,2.5544,0.0,1.7105,D8,0.2179,0.4358
039440,0.0366,5.4268,0.6612,4.3897,D2,0.0183,0.0366
039560,0.1812,4.7759,0.8264,3.6958,D4,0.0906,0.1812
039610,0.0879,5.5164,2.1488,4.7198,D2,0.0439,0.0879
039740,1.7181,4.3016,0.4959,3.2112,D10,0.8591,1.7181
039830,0.4242,4.7111,1.8182,4.4807,D6,0.2121,0.4242
039840,0.1525,3.0229,0.0,2.1006,D7,0.0763,0.1525
039860,0.1606,5.1782,2.1488,4.6891,D3,0.0803,0.1606
039980,0.0495,6.935,2.5467,5.4599,D1,0.0247,0.0495
040160,1.1356,4.9683,0.4959,3.5708,D9,0.5678,1.1356
040300,0.2164,4.4778,1.157,3.5591,D4,0.1082,0.2164
040350,0.6659,8.0242,3.5088,5.7463,D8,0.3329,0.6659
040420,0.2601,1.1149,0.0,0.7237,D10,0.1301,0.2601
040610,0.6696,2.6409,0.0,1.9045,D9,0.3348,0.6696
040910,0.5587,4.9703,0.6612,3.4468,D5,0.2793,0.5587
041020,0.0336,5.694,1.9835,4.5748,D1,0.0168,0.0336
041190,0.0192,4.6943,1.3223,4.3927,D1,0.0096,0.0192
041440,0.0766,4.1323,0.6612,3.5944,D2,0.0383,0.0766
041460,0.3308,3.434,0.1653,2.3221,D7,0.1654,0.3308
041510,0.0118,4.3623,0.1653,3.1541,D1,0.0059,0.0118
041520,1.0157,4.2668,0.1653,2.6867,D10,0.5079,1.0157
041830,0.1668,3.7966,0.4959,2.8587,D6,0.0834,0.1668
041910,0.2801,4.8137,1.3223,3.9059,D4,0.14,0.2801
041920,0.2953,5.2494,1.157,4.0257,D5,0.1476,0.2953
041930,0.4103,3.3586,0.3306,2.5363,D8,0.2052,0.4103
041960,0.1782,4.1831,0.4959,2.9974,D6,0.0891,0.1782
042000,0.0219,5.8073,1.8182,4.7659,D1,0.0109,0.0219
042040,1.0266,4.8166,1.2195,3.491,D9,0.5133,1.0266
042110,0.3958,2.5355,0.0,1.5516,D9,0.1979,0.3958
042370,0.0725,4.5831,0.6612,3.6268,D3,0.0362,0.0725
042420,0.4905,3.8807,0.3306,2.9439,D9,0.2453,0.4905
042500,0.2035,3.9331,0.4959,3.0115,D6,0.1017,0.2035
042510,0.1973,4.2762,0.8475,3.5958,D5,0.0987,0.1973
042520,0.2574,6.703,2.8099,5.3256,D4,0.1287,0.2574
042600,0.5131,5.7962,0.8264,3.9319,D7,0.2566,0.5131
042940,0.3385,7.6509,5.1635,7.2592,D4,0.1692,0.3385
043090,1.2533,9.2975,4.4369,6.8489,D8,0.6266,1.2533
043100,0.6325,7.9718,3.1776,6.203,D7,0.3162,0.6325
043150,0.1986,2.6065,0.1653,2.2671,D8,0.0993,0.1986
043200,0.9453,5.4616,1.4876,4.3487,D6,0.4727,0.9453
043220,0.4878,7.873,2.99,5.5981,D7,0.2439,0.4878
043260,0.1436,6.5027,3.3058,5.6086,D1,0.0718,0.1436
043340,3.3064,4.305,0.6768,3.2465,D10,1.6532,3.3064
043360,3.6218,5.0213,0.4959,3.2098,D10,1.8109,3.6218
043370,0.2715,3.196,0.1653,2.307,D8,0.1358,0.2715
043590,2.518,6.1861,2.4055,5.089,D9,1.259,2.518
043610,0.4663,3.4037,0.1653,2.2604,D8,0.2332,0.4663
043650,0.4165,3.4,0.3306,2.4416,D6,0.2083,0.4165
043710,3.4624,5.9856,0.5085,3.148,D10,1.7312,3.4624
043910,0.2157,3.8991,0.6757,3.0153,D5,0.1079,0.2157
044180,0.8203,7.5071,4.9149,6.5568,D5,0.4101,0.8203
044340,0.6779,3.6308,0.1653,2.7465,D7,0.3389,0.6779
044480,1.0638,7.0601,2.8021,5.4814,D6,0.5319,1.0638
044490,0.0636,6.2551,1.9835,5.1817,D2,0.0318,0.0636
044780,1.813,3.4312,0.1653,2.0463,D10,0.9065,1.813
044960,0.2393,2.3357,0.0,1.7473,D8,0.1196,0.2393
044990,0.3432,3.919,0.4959,3.1955,D6,0.1716,0.3432
045060,1.1577,2.2061,0.0,1.3871,D10,0.5789,1.1577
045100,0.1011,3.3304,0.1653,2.8774,D5,0.0505,0.1011
045300,1.2513,3.23,0.0,1.89,D10,0.6257,1.2513
045340,0.3878,5.6722,2.1488,4.7376,D7,0.1939,0.3878
045390,0.0623,3.7532,0.0,2.8937,D4,0.0312,0.0623
045510,2.8308,4.4318,1.3223,3.9004,D10,1.4154,2.8308
045520,1.6624,3.1241,0.6612,2.7076,D10,0.8312,1.6624
045660,0.1259,5.0735,2.4793,4.8525,D3,0.0629,0.1259
045970,0.2322,5.7525,1.157,4.3895,D5,0.1161,0.2322
046120,0.124,5.8864,1.4876,4.5735,D3,0.062,0.124
046210,0.383,5.5544,0.6612,3.7304,D6,0.1915,0.383
046310,0.5167,3.357,0.1653,2.3038,D9,0.2583,0.5167
046390,0.5531,4.4993,0.8475,3.3858,D7,0.2765,0.5531
046440,0.2423,2.7984,0.0,1.9543,D7,0.1212,0.2423
046890,0.0672,3.2743,1.4876,3.7609,D3,0.0336,0.0672
046940,0.3503,4.7877,0.9917,3.996,D6,0.1752,0.3503
046970,0.1542,5.9936,2.4917,5.3121,D3,0.0771,0.1542
047080,0.9065,4.2101,0.6612,3.1196,D8,0.4533,0.9065
047310,0.1211,4.8374,1.3223,4.2823,D2,0.0606,0.1211
047560,0.0647,6.0344,1.9868,4.9158,D2,0.0323,0.0647
047770,0.1787,5.4536,1.4876,4.5956,D3,0.0894,0.1787
047820,0.3274,4.6206,0.6623,3.4371,D7,0.1637,0.3274
047920,0.039,5.6837,1.9835,4.8274,D1,0.0195,0.039
048410,0.0321,5.9698,1.6529,4.8667,D2,0.016,0.0321
048430,0.282,4.0749,1.157,3.4415,D5,0.141,0.282
048470,0.4889,5.1064,0.9917,3.8402,D5,0.2445,0.4889
048530,0.1889,5.0844,1.157,3.623,D6,0.0945,0.1889
048550,0.2586,3.8495,0.3306,2.8191,D6,0.1293,0.2586
048770,0.7766,5.6391,2.314,4.957,D6,0.3883,0.7766
048830,1.8733,2.4846,0.1653,1.8451,D10,0.9367,1.8733
048870,0.1625,4.0682,0.6612,3.1274,D5,0.0813,0.1625
048910,0.2409,3.6314,0.0,2.4725,D8,0.1205,0.2409
049070,0.0806,3.9293,0.8264,3.6112,D3,0.0403,0.0806
049080,0.7623,5.9963,2.7119,5.3069,D6,0.3811,0.7623
049120,3.0803,5.6137,1.1864,4.0916,D10,1.5401,3.0803
049180,0.3085,7.7771,5.0752,7.3382,D3,0.1542,0.3085
049430,0.3396,3.5532,0.1653,2.6202,D8,0.1698,0.3396
049470,0.913,7.5643,2.988,6.2024,D6,0.4565,0.913
049480,0.2111,3.4122,0.3306,2.7358,D6,0.1056,0.2111
049520,0.276,3.8099,0.0,2.3387,D8,0.138,0.276
049550,3.0674,3.4663,0.1653,2.0687,D10,1.5337,3.0674
049630,0.221,5.5369,1.5254,4.3379,D2,0.1105,0.221
049720,0.1223,1.8936,0.0,1.0268,D8,0.0611,0.1223
049830,4.3035,2.7151,0.0,1.5637,D10,2.1518,4.3035
049950,0.1926,4.8974,0.4959,3.5259,D5,0.0963,0.1926
049960,0.4005,2.936,0.0,1.9219,D9,0.2003,0.4005
050090,2.6208,6.7337,2.4793,5.2929,D9,1.3104,2.6208
050110,0.3836,4.7171,1.1844,4.3259,D7,0.1918,0.3836
050120,3.252,5.2693,0.9917,3.7969,D10,1.626,3.252
050760,1.8532,3.4482,0.3306,2.7948,D10,0.9266,1.8532
050860,0.8743,2.321,0.0,1.3925,D10,0.4371,0.8743
050890,0.0297,4.64,1.157,3.8809,D1,0.0148,0.0297
050960,0.4912,4.5073,1.3223,4.1236,D8,0.2456,0.4912
051160,0.2169,4.089,0.3306,2.7678,D7,0.1085,0.2169
