공시일,종목코드,종목명,사유성격,정지사유,시차_분,동반공시_원문,동반공시_유형,정지공시_원문
20240229,258830,세종메디칼,부실·위험,관리종목지정우려,0,(주)세종메디칼 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)세종메디칼 주권매매거래정지(관리종목지정우려)
20240311,104480,티케이케미칼,부실·위험,중요한 영업정지,1,(주)티케이케미칼 주주총회소집결의,주주총회소집결의,(주)티케이케미칼 주권매매거래정지(중요한 영업정지)
20240311,104480,티케이케미칼,부실·위험,중요한 영업정지,0,(주)티케이케미칼 영업정지,영업정지,(주)티케이케미칼 주권매매거래정지(중요한 영업정지)
20240312,016670,디모아,자본·조직변동,자본감소,0,(주)디모아 감자결정,감자결정,(주)디모아 주권매매거래정지(자본감소)
20240313,114810,한솔아이원스,부실·위험,풍문 또는 보도 관련,0,한솔아이원스(주) 조회공시요구(풍문또는보도)(회계처리기준 위반),조회공시요구,한솔아이원스(주) 주권매매거래정지(풍문 또는 보도 관련)
20240313,123840,뉴온,부실·위험,관리종목지정우려,0,(주)한일진공 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)한일진공 주권매매거래정지(관리종목지정우려)
20240313,151910,(상장폐지),부실·위험,풍문 또는 보도 관련,0,에스비더블유생명과학(주) 조회공시요구(풍문또는보도)(회계처리기준 위반),조회공시요구,에스비더블유생명과학(주) 주권매매거래정지(풍문 또는 보도 관련)
20240313,192410,오늘이엔엠,자본·조직변동,자본감소,0,휴림네트웍스(주) 감자결정,감자결정,휴림네트웍스(주) 주권매매거래정지(자본감소)
20240313,208350,지란지교시큐리티,부실·위험,풍문 또는 보도 관련,0,(주)지란지교시큐리티 조회공시요구(풍문또는보도)(회계처리기준 위반),조회공시요구,(주)지란지교시큐리티 주권매매거래정지(풍문 또는 보도 관련)
20240313,241820,피씨엘,부실·위험,관리종목지정우려,0,피씨엘(주) 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,피씨엘(주) 주권매매거래정지(관리종목지정우려)
20240314,049470,비트플래닛,자본·조직변동,자본감소,0,에스지에이(주) 감자결정,감자결정,에스지에이(주) 주권매매거래정지(자본감소)
20240314,227100,(상장폐지),부실·위험,파산신청,1,(주)에이치앤비디자인 관리종목지정(파산신청),관리종목지정,(주)에이치앤비디자인 주권매매거래정지(파산신청)
20240319,019590,(상장폐지),부실·위험,풍문 또는 보도 관련,0,엠벤처투자(주) 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,엠벤처투자(주) 주권매매거래정지(풍문 또는 보도 관련)
20240319,073640,테라사이언스,부실·위험,상장적격성 실질심사 대상 (사유발생,0,테라사이언스(주) 기타시장안내(상장적격성 실질심사 관련 안내),기타시장안내,테라사이언스(주) 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240319,089850,유비벨록스,자본·조직변동,무상증자,0,유비벨록스(주) 무상증자결정,무상증자결정,유비벨록스(주) 주권매매거래정지(무상증자)
20240319,224060,더코디,부실·위험,풍문 또는 보도 관련,0,(주)더코디 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),조회공시요구,(주)더코디 주권매매거래정지(풍문 또는 보도 관련)
20240320,052020,에스티큐브,부실·위험,관리종목지정사유발생,0,(주)에스티큐브 감사보고서 제출,감사보고서 제출,(주)에스티큐브 주권매매거래정지(관리종목지정사유발생)
20240320,054630,(상장폐지),부실·위험,관리종목지정우려,0,(주)에이디칩스 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)에이디칩스 주권매매거래정지(관리종목지정우려)
20240321,036690,코맥스,부실·위험,풍문 또는 보도 관련,0,(주)코맥스 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)코맥스 주권매매거래정지(풍문 또는 보도 관련)
20240321,041520,이엘씨,부실·위험,중요한 영업정지,0,(주)이라이콤 영업정지,영업정지,(주)이라이콤 주권매매거래정지(중요한 영업정지)
20240321,046070,코다코,부실·위험,풍문 또는 보도 관련,0,(주)코다코 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)코다코 주권매매거래정지(풍문 또는 보도 관련)
