code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,nxt_yr,krx_yr
397030,606,606,10815944153500.0,17848092662.541256,0.0,2.5041322314049586,ST,639197449800.0,에이프릴바이오,N,D1,2253085758425.8066,4319238424334.984
455900,549,549,9790088882500.0,17832584485.42805,0.0,2.268595041322314,ST,280414117440.0,엔젤로보틱스,N,D1,1927386378464.516,3909573448127.063
031980,576,576,10215700175500.0,17735590582.46528,0.0,2.3801652892561984,ST,2936798199000.0,피에스케이홀딩스,N,D1,2089246746683.871,4079537033780.5283
041510,606,606,10719022021000.0,17688155150.165016,0.0,2.5041322314049586,ST,1774338475000.0,에스엠,N,D1,1568401141290.3228,4280533546339.934
214150,606,606,10714818307000.0,17681218328.38284,0.0,2.5041322314049586,ST,3163929461500.0,클래시스,N,D1,1709231258296.7742,4278854835468.647
484590,211,211,3711915760000.0,17592017819.905212,0.0,0.871900826446281,ST,262098462000.0,삼양컴텍,N,D1,2897076561109.6777,1482316194587.4587
476080,448,448,7839765153500.0,17499475789.0625,0.0,1.851239669421488,ST,30652215000.0,M83,N,D1,172911176438.7097,3130731298922.4424
036540,606,606,10582833866000.0,17463422221.122112,0.0,2.5041322314049586,ST,879862621050.0,SFA반도체,N,D1,1545749582193.5483,4226148177511.5513
475400,409,409,7129546157000.0,17431653195.599022,0.0,1.6900826446280992,ST,205558024540.0,씨메스로보틱스,N,D1,1043196207225.8065,2847112491739.274
459550,151,151,2627284658500.0,17399236149.006622,0.0,0.6239669421487604,ST,28474239169.0,알트,N,D1,0.0,1049179682107.2607
038500,571,571,9932532507500.0,17394978121.716286,0.0,2.3595041322314048,ST,891388687560.0,삼표시멘트,N,D1,24321565967.741936,3966456875932.3433
039980,569,569,9840604596000.0,17294559922.671352,0.0,2.351239669421488,ST,65218805490.0,폴라리스AI,N,D1,441648067903.2258,3929746389821.782
068760,606,606,10149598073500.0,16748511672.442244,0.0,2.5041322314049586,ST,1820495612000.0,셀트리온제약,N,D1,1470746514387.097,4053139824731.0234
281740,606,606,10118266296000.0,16696809069.30693,0.0,2.5041322314049586,ST,842665625360.0,레이크머티리얼즈,N,D1,1372803709980.6453,4040627794772.2773
124500,332,332,5514133982500.0,16608837296.686749,0.0,1.371900826446281,ST,493096198750.0,아이티센글로벌,N,D1,1715480549200.0,2202013900602.3105
382150,370,370,6130422811500.0,16568710301.35135,0.0,1.5289256198347108,ST,45247000470.0,온코크로스,N,D1,731713129754.8387,2448122640896.0396
443670,565,565,9356500256500.0,16560177445.132744,0.0,2.334710743801653,ST,68550160220.0,에스피소프트,N,D1,88176860838.70969,3736424194839.934
