n,cum_amt_pct,cum_after_gongsi_pct
485,81.33452077096743,27.964579695684712
486,81.39099932028792,28.06934397605388
487,81.44706514902882,28.084310301820903
488,81.48632402355292,28.111748565727112
489,81.5377500581437,28.139186829633324
490,81.59104781454673,28.16163631828386
491,81.64672788324681,28.174108256423047
492,81.70127294365405,28.261411823397353
493,81.73169332859554,28.298827637814917
494,81.78590341708932,28.318782738837616
495,81.81113976673436,28.348715390371666
496,81.86623547462824,28.426041406834624
497,81.92105136216043,28.48840109753056
498,81.97571419484828,28.525816911948116
499,82.03015185056151,28.570715889249186
500,82.08458500085047,28.613120478922426
501,82.13694466645946,28.648041905712144
502,82.19080035488888,28.687952107757546
503,82.24462682014105,28.73285108505862
504,82.29840116919634,28.762783736592667
505,82.35201848613863,28.8850087303567
506,82.40137221747929,28.969817909703167
507,82.4536580103047,29.044649538538287
508,82.50594217749665,29.12945871788476
509,82.54407523824628,29.18682963332502
510,82.59610300592607,29.26166126216014
511,82.6279074795016,29.284110750810676
512,82.67978768085146,29.363931154901472
513,82.73231501338701,29.411324519830384
514,82.7833618102346,29.43127962085308
515,82.80361603771364,29.446245946620103
516,82.8550244890555,29.538538288850084
517,82.90623753153812,29.583437266151158
518,82.95714462187055,29.638313793963583
519,83.00608747916247,29.71813419805438
520,83.05568557525362,29.74806684958843
521,83.10577349264712,29.80044898977301
522,83.15589995252904,29.882763781491644
523,83.20553696577332,29.92267398353704
524,83.25507434893254,29.937640309304065
525,83.30123643865393,30.14218009478673
526,83.35023268524465,30.1870790720878
527,83.39909783943996,30.296832127712648
528,83.42818959719328,30.32177600399102
529,83.47241578477443,30.374158144175606
530,83.5207951763411,30.431529059615865
531,83.56911808171161,30.466450486405588
532,83.61630657752035,30.53130456472936
533,83.66422620817251,30.536293339985033
534,83.71050434223683,30.68346221002744
535,83.7539551437555,30.750810675979046
536,83.80010869164045,30.798204040907954
537,83.83648710562387,30.838114242953356
538,83.88143819773695,30.875530057370916
539,83.92870031751369,30.905462708904963
540,83.9759602500449,30.9279121975555
541,84.02310172393999,30.987777500623597
542,84.04975231664822,31.03517086555251
543,84.09579008026988,31.119980044898977
544,84.14224341311555,31.167373409827885
545,84.18861906251989,31.214766774756797
546,84.23489193955005,31.282115240708407
547,84.2799882124473,31.376901970566223
548,84.32536830528576,31.45173359940135
549,84.37122046325851,31.544025941631332
550,84.41598439491148,31.795959092042903
551,84.45642322237138,31.99800448989773
552,84.50178732973541,32.050386630082315
553,84.54713392182956,32.075330506360686
554,84.5915649943594,32.15265652282365
555,84.63649320984045,32.185083561985536
556,84.67710930430958,32.21751060114742
557,84.72166263099942,32.249937640309305
558,84.76511608885467,32.28735345472686
559,84.80955269909145,32.30231978049389
560,84.84823412758094,32.49937640309304
561,84.88950237021083,32.581691194811675
562,84.93292576902086,32.63407333499626
563,84.9769130821034,32.68146669992517
564,85.0201355142181,32.68645547518084
565,85.06390133879718,32.76627587927164
566,85.10080368865272,32.97580444000997
567,85.14438850225065,33.00823147917186
568,85.18790411901938,33.0905462708905
569,85.23014396420486,33.120478922424546
570,85.27315405917378,33.185333000748315
571,85.31034277335783,33.2177600399102
572,85.35315892640746,33.33250187079072
573,85.39512114772688,33.34497380892991
574,85.43778359853182,33.404839111998
575,85.47610907998417,33.48715390371664
576,85.51863624766135,33.54203043152906
577,85.55694558356366,33.59940134696932
578,85.5989558765036,33.68421052631579
579,85.64092307869595,33.70167123971065
580,85.68253617708473,33.714143177849834
581,85.72400182089538,33.781491643801445
582,85.76538108407152,33.863806435520075
583,85.8057279086061,33.92117735096034
584,85.84708083051834,33.963581940633574
585,85.88841072968204,34.055874282863556
586,85.92904234588524,34.08331254676977
587,85.97016593233265,34.10326764779247
588,86.01127439800005,34.220503866300824
589,86.05026894405326,34.255425293090546
590,86.0912196244775,34.310301820902964
591,86.13204538927171,34.32277375904216
592,86.14905347356654,34.35769518583188
593,86.18871212802783,34.387627837365926
594,86.22919676182404,34.4724370167124
595,86.269655773497,34.494886505362935
596,86.3100173480661,34.502369668246445
597,86.35033121883805,34.57221252182589
598,86.39046574633706,34.65702170117236
599,86.4013468970417,34.67448241456722
600,86.44040122304732,34.73933649289099
601,86.47296362583836,34.79670740833126
602,86.51226901245292,34.85657271139935
603,86.5514976755564,34.8865053629334
